Assets held for sale,持有待售资产
Business model test,商业模式测试
Capital gearing ratio,资本杠杆比
Capitalisation/bonus issue,资本化/分红股
Cash flow ratio,现金流量比率
Cash generating units,现金产出单位
Change in accounting estimate,会计估计变更
Changes in accounting estimates,会计估计变更
Changes in accounting policies,会计政策变更
Changes in accounting policy,会计政策变更
Changes in equity,权益变动
Component of an entity,实体的组成部分
Components of cost,成本的组成部分
Compound financial instruments                ,复合金融工具                
Consolidated financial statements            ,合并财务报表
Costs of disposal,处置成本
Costs to sell,销售成本
Current cost accounting (CCA),现行成本会计（CCA）
Current value accounting,现行价值会计
Debt/equity ratio,债-权益比率
Deductible temporary differences,可抵扣暂时性差异
Effective interest method,实际利率法
Effective interest rate,实际利率
Entity specific value,实体的特定价值
Environmental contamination,环境污染
Fair value model,公允价值模式
Fixed production overheads,固定生产费用
Future economic benefit,未来经济利益
Future operating losses,未来经营亏损
General price inflation,整体价格通胀
Gross profit margin,毛利率
IAS  Intangible assets,《国际会计准则——无形资产》
IAS  fair value model,《国际会计准则——公允价值模式》
IFRS  Business combinations,《国际财务报告准则——企业合并》
IFRS  Fair values,《国际财务报告准则——公允价值》
IFRS  Financial instruments,《国际财务报告准则——金融工具》
Benefits of cash flow information,现金流量信息的
Bill-and-hold arrangements,开单留置安排
Cash and cash equivalents,现金和现金等价物
Cash flows from operating activities,经营活动产生的现金流量
Characteristics of Not-for-profit entities,非牟利实体的特征
Classification of financial assets          ,金融资产的分类   
Classification of financial liabilities       , 金融负债的分类   
Constraints on useful information,可使用信息的局限
Contractual cash flow test,合约现金流量测试
Contract with a call option,附带买入期权的合同
Contract with a put option,附带卖出期权的合同
Debt and gearing ratios,债务杠杆比
Elements of financial statements,财务报表的要素
Equal to its tax base,等于其税基
Gain on a bargain purchase,议价收益
Goodwill and pre-acquisition profits,商誉和收购前利润
Goodwill arising on consolidation,合并产生的商誉
Grants related to assets,资产相关的补助
Grants related to income,收入相关的补助
Group of biological assets,生物性资产组合
Historical vs current cost,历史对比现行成本
IAS  Statement of cash flows,《国际会计准则——现金流量》
IAS  Separate financial statements       ,《国际会计准则——独立财务报表》
IAS  Investments in associates     ,《国际会计准则——于联营公司的投资》
IAS  Financial instruments: presentation ,《国际会计准则——金融工具：列报》
IAS  Earnings per share,《国际会计准则——每股收益》
IAS  Impairment ofassets,《国际会计准则——资产减值》
IFRS  Consolidated financial statements    ,《国际财务报告准则——合并财务报表》
IFRS Interpretations Committee,《国际财务报告准则——解释委员会》
Impairment of goodwill,商业减值
Inventories and short-term WIP,存货和短期在建工程
Inventory turnover period,存货周转期
Investments in associates,于联营公司的投资
Internally generated goodwill,内部产生的商誉
Liabilities and equity,负债和权益
Limitations of ratio analysis,比率分析的局限
Measurement of financial instruments ,财务报表的计量
Measurement of intangible assets         ,无形资产的计量
Measurement of provisions                ,预计负债的计量
Minimum lease payments              ,最低租赁付款
Net profit margin,净利率
Net realisable value,可变现净值
Net realisable value (NRV),可变现净值（NRV）
Net replacement cost (NRC),净重置成本（NRC）
Physical capital maintenance,物理资产保全
Physical concept of capital,物理资本概念
Potential ordinary share,潜在的普通股
Price/Earnings (P/E) ratio,市盈率（P/E）
Primary profitability ratio,主要盈利能力比率
Principles-based system,基于原则的系统
Prior period errors,往期错误
Profit before interest and tax,息税前利润
Propertyplant and equipment ,物业、厂房及设备 
Public sector entities,公营实体
Recoverable amount of an asset          ,资产的可收回金额           
Research and development costs ,研发成本 
Restructuring and future losses,重组和未来损失 
Retirement benefit costs           ,退休福利成本           
Return on capital employed (ROCE),已动用资本回报率（ROCE）
Return on equity (ROE),权益报酬率、净资产收益率（ROE）
Sale of goods revenue,销售商品的收入
Specific price inflation,特定的价格通胀
Spot exchange rate,即期汇率
Stand-alone selling price,独立售价
Substance over form,实质重于形式
Taxable profit (tax loss),应税利润（应税亏损）
Taxable temporary differences,应税暂时性差异
Temporary tax differences,暂时性税项差异
Unwinding of the discount,折现转回
Upstream and downstream transactions Useful life,上下游交易 可使用年期
Users and their information needs,使用者及其信息需求
Value in use,使用价值
Variable production overheads        ,浮动的生产管理费用        
Warrants or options,认股权证或期权
