Adjusting,调整
Asset,资产
Associate,联营公司
Capital,资本
Cash,现金，现款
Comparability,可比性
Control,控制
Conversion,换算，转换，兑换
Cost,成本
CPP,不变购买力
Customer,客户
Decommissioning,停运
Depreciation,折旧，贬值
Derecognition,终止确认
Discounting,贴现，折扣，折价
Dividends,股利，股息
Equity,权益，产权
Expenses,费用
Framework,框架
GAAP,一般公认会计准则
Gains,收益
Goodwill,商誉
Government,政府
Group,集团
Harvest,收成
Impairment,减值
Impracticable,不符合实际
Income,收益
Inventories,存货，盘存，财产清单
Lease,租赁
Lessees,承租人
Leverage,举债经营，杠杆作用
Liability,负债，责任
Liquidity,流动性，清偿能力
Loan,贷款
Losses,损失、亏损
Material,材料，原料，重要的
Materiality,重要性
Measurement,计量
Non-adjusting,非调整型
Obligation,义务
Options,期权，选择权
Overhauls,维修
Parent,母公司
Power,权力
Provision,预计负债
Receivable,应收款项
Recognition,确认
Relevance,相关性
Restructuring,重组
Revenue,收入、营业收入
ROCE,已动用资本回报率（ROCE）
ROE,权益报酬率、净资产收益率（ROE）
Subsidiary,子公司
Timeliness,时间性
Translation,折算、换算
Understandability,可理解性
Verifiability,可验证性
Warranties,认股权证
,total：59
Accelerated depreciation,加速折旧
Accounting policies,会计政策
Accounting profit,会计利润
Accruals basis,权责发生制
Accrued expenses,应计费用
Accrued income,应计收入
Accumulated depreciation,累计折旧
Actuarial method,精算成本法
Agricultural activity,农业活动
Agricultural produce,农业生产
Amortisation period,摊销期
Amortised cost,摊销成本
Asset turnover,资产周转率
Associate's losses,联营公司的亏损
Biological assets,生物性资产
Biological transformation,生物转化
Bonus issue,分红股
Borrowing costs,借款成本
Calculating ratios,计算比率
Capital employed,已动用资本
Capital maintenance,资本保全
Carrying amount,账面金额
Cash cycle,现金周期
Cash equivalents,现金等价物
Cash flows,现金流量
Cash-generating unit,现金产出单位
CCA profits,资本成本补贴会计
Closing rate,期末汇率
Complex assets,复杂的资产
Constructive obligation,推定义务
Contingent asset,或有资产
Contingent consideration,或有对价
Contingent liability,或有负债
Contract asset,合同资产
Contract liability,合同负债
CPP accounting,不变购买力会计
Creative accounting,寻机性会计
Current asset,流动资产
Current cost,现行成本
Current IFRSs,现行国际财务报告准则
Current liability,流动负债
Current ratio,流动比率
Current tax,本期税项
Debt ratio,负债比率
Deferred consideration,递延对价
Deferred tax,递延税项
Depreciable amount,应计提折旧金额
Depreciable assets,应计提折旧资产
Deprival value,剥夺价值
Development costs,开发成本
Diluted EPS,稀释每股收益
Discontinued operations,终止经营
Disposal group,处置小组
Dividend cover,股利保证倍数
Dividend yield,股息率
Due process,应循程序
Economic value (EV),经济价值（EV）
Efficiency ratios,效益比率
Environmental contamination,环境污染
Equity instrument,权益工具
Equity method,权益法
Exchange difference,汇兑差异
Exchange rate,汇率
Expected value,期望值
Fair presentation,公允列报
Faithful representation,真实反映
Finance lease,融资租赁
Financial asset,金融资产
Financial instrument,金融工具
Financial liability,金融负债
Financing activities,融资活动
Foreign currency,外汇
Forgivable loans,可免除贷款
Functional currency,功能性货币
Gearing ratio,杠杆比率
Going concern,持续经营
Government assistance,政府支持
Government grants,政府补助
Historical cost,历史成本
IAS  Investmentproperty,《国际会计准则——投资物业》
IAS  Agriculture,《国际会计准则——农业》
Impairment loss,减值损失
Indirect method,间接法
Intangible asset,无形资产
Interest cover,利息保证倍数
Interest revenue,利息收入
Intra-group trading,集团内交易
Investing activities,投资活动
Investment property,投资物业
Lease term,租赁期
Liability method,负债法
Loan payable,应付贷款
Long-term solvency,长期偿付能力
Major repairs,重大维修
Monetary items,货币性科目
Non-controlling interest   ,非控股权益        
Onerous contract,有偿合同
Operating activities,经营活动
Operating cycle,营业周期，营业循环
Operating lease,经营租赁
Ordinary shares,普通股
Owner-occupied property,业主自持物业
P/E ratio,市盈率
Part cancellation,部分取消
Permanent differences,永久性差异
Pre-acquisition profits,收购前利润
Prepaid expenses,预付费用
Present value,现值
Presentation currency,列报货币
Profit analysis,利润分析
Profit margin,利润率
Prospective application         ,前瞻性应用         
Purchased goodwill,已取得商誉
Qualifying asset,符合条件的资产
Quick ratio,速动比率
Ratio analysis,比率分析
Realisable value,可变现净值
Recognition criteria,确认标准
Recoverable amount          ,可收回金额          
Reporting period,报告期间
Residual value                   ,剩余价值                   
Retrospective application       ,追溯应用       
Retrospective restatement,追溯重述
Revaluation model,重估模型
Revaluation surplus,重估盈余
Revalued assets,被重估资产
Rights issue,配股
Rules-based system,基于规则的系统
Secondary ratios,二次比率
Self insurance,自我保险
Settlement value,交割价值
Share exchange,股份置换
Short-term solvency,短期偿付能力
Significant influence,重大影响
Tax base,税基
Tax expense,税项费用
Tax payments,税项付款
Taxable profit,应税利润
Temporary differences,暂时性差异
Timing differences,时间差异
Transaction price,交易价格
Unrealised profit,未变现利润
Working capital,营运资金
Basic EPS,基础每股收益
Cost model,成本模式
